Klasa,wartość
http://cmt#Person,= 5^1 + 4^2 + 0^3
http://paperdyne#Person,= 0^1
http://cmt#Review,= 1^1
http://paperdyne#Review,=0
http://cmt#Reviewer,= 1^1
http://paperdyne#Reviewer,=0
http://cmt#Conference,=0
http://paperdyne#Conference,=0
http://cmt#Author,= 2^1
http://paperdyne#MainAuthor,=0
http://paperdyne#Author,= 0^1
http://cmt#Paper,= 2^1
http://paperdyne#Paper,=0
http://cmt#Speaker,=0
http://paperdyne#Speaker,=0
http://cmt#Bid,= 0^1
http://paperdyne#Bidding_Phase,= 0^1
http://cmt#Co-author,=0
http://paperdyne#Co-Author,=0
http://cmt#ProgramCommitteeChair,=0
http://paperdyne#Program_Comitee_Chair,=0
http://cmt#ProgramCommittee,=0
http://paperdyne#Program_Comitee,=0
http://cmt#Bidding_without_paper_submission_phase,=0
http://paperdyne#Bidding_And_Paper_Submission_Phase,=0
http://cmt#Bidding_and_paper_submission_phase,=0
http://paperdyne#Bidding_Without_Paper_Submission_Phase,=0

SUMA:,27.0